dataset,n_trials,participants,final_accuracy,appropriate_reliance,overall_override_rate,human_advantage_conflicts,override_when_human_advantage,ai_advantage_conflicts,override_when_ai_advantage,osi,osi_ci_low,osi_ci_high,human_advantage_final_accuracy,ai_advantage_final_accuracy
Loan decisions,2810,281,0.5213523131672598,0.5213523131672598,0.30676156583629893,347,0.5072046109510087,1118,0.6019677996422182,-0.09476318869120959,-0.15167063540551445,-0.03681619088747022,0.5072046109510087,0.39803220035778175
Chess decisions,3000,100,0.45366666666666666,0.5946666666666667,0.478,452,0.7389380530973452,1071,0.44724556489262374,0.29169248820472143,0.22771641965340003,0.3498709139790767,0.7057522123893806,0.5592903828197946
